数据来源,关键词,岗位名称,薪资,城市,经验要求,学历要求,公司名称
智联,计算机,计算机网络技术,6000-8000元·13薪,贵阳·云岩,1-3年,大专,立即投递收藏
智联,计算机,计算机技术员,8000-16000元,深圳·龙华·龙华,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-13000元,成都·青白江·桂溪,经验不限,学历不限,立即投递收藏
智联,计算机,计算机实习生2027届，可签三方,80-160元/天,福州·仓山·螺洲,经验不限,大专,立即投递收藏
智联,计算机,计算机文员,2000-4000元,沧州·运河区·南环中路街道,1-3年,学历不限,立即投递收藏
智联,计算机,计算机老师,3000-5000元,鹤壁·山城区·鹿楼街道,1-3年,本科,立即投递收藏
智联,计算机,it计算机硬件技术员,8000-9000元,广州·白云·鹤龙,经验不限,中专/中技,立即投递收藏
智联,计算机,计算机专员,4000-6000元,重庆·渝中·两路口,经验不限,大专,立即投递收藏
智联,计算机,国际教育计算机老师,1.5-2万,重庆·渝北,经验不限,本科,立即投递收藏
智联,计算机,计算机任课教师,4000-8000元,徐州·泉山区·庞庄街道,1-3年,本科,立即投递收藏
智联,计算机,计算机专业教师,4000-5000元,信阳·平桥区·震雷山街道,经验不限,本科,立即投递收藏
智联,计算机,计算机老师(J10518),4000-6000元,洛阳·洛龙,经验不限,本科,立即投递收藏
智联,计算机,计算机办公、设计软件老师,3000-6000元,邯郸·邯山区·罗城头街道,1-3年,大专,立即投递收藏
智联,计算机,计算机老师,4000-7000元,成都·郫都·合作街道,经验不限,本科,立即投递收藏
智联,计算机,计算机教师,8000-13000元,大连·甘井子·大连湾,1-3年,本科,立即投递收藏
智联,计算机,计算机教师,3000-4000元,保定·高碑店·方官,1-3年,大专,立即投递收藏
智联,计算机,计算机老师（专升本）,100-120元/时,聊城·东昌府区·新区街道,经验不限,本科,立即投递收藏
智联,计算机,计算机兼电子专业教师,5000-8000元,长沙·开福·青竹湖,1-3年,本科,立即投递收藏
智联,计算机,计算机网络工程师,5000-7000元·13薪,重庆·渝北,经验不限,大专,立即投递收藏
智联,计算机,大专计算机教师,5000-7000元,荆州·荆州区·纪南镇,经验不限,硕士,立即投递收藏
智联,计算机,计算机教师,4000-6000元,重庆·南岸·长生桥,1-3年,本科,立即投递收藏
智联,计算机,计算机应用,7000-12000元,南京·秦淮·朝天宫,经验不限,大专,立即投递收藏
智联,计算机,专业科教师（电子技术/计算机/旅游/护理/美术/船舶）,6000-8000元,武汉·江夏,1-3年,本科,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-13000元,广州·从化·北京街道,经验不限,学历不限,立即投递收藏
智联,计算机,计算机实习生（可签实习三方协议）,80-160元/天,南昌·南昌县·莲塘,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-11000元,无锡·梁溪·北大街,1年以下,大专,立即投递收藏
智联,计算机,计算机硬件维护,6000-8000元·13薪,贵阳·云岩,1-3年,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,6000-10000元,长沙·岳麓·咸嘉湖,经验不限,学历不限,立即投递收藏
智联,计算机,5K起计算机助理/双休,6000-8000元,武汉·洪山·关山,经验不限,高中,立即投递收藏
智联,计算机,计算机教师（数媒方向）,5000-7000元,临沂·河东·九曲,1-3年,本科,立即投递收藏
智联,计算机,计算机专业课老师（c语言、网页、网络）,1.5-2.5万·14薪,沈阳·沈北·正良,5-10年,本科,立即投递收藏
智联,计算机,技校计算机专业老师,3000-4000元,保定·莲池,经验不限,本科,立即投递收藏
智联,计算机,计算机老师,4000-6000元,济南·天桥·药山,经验不限,学历不限,立即投递收藏
智联,计算机,计算机程序老师,3000-5000元,邯郸·邯山区·罗城头街道,3-5年,大专,立即投递收藏
智联,计算机,计算机教师,4000-6000元,邯郸·峰峰矿区·临水镇,经验不限,本科,立即投递收藏
智联,计算机,计算机硬件维护工程师或工程八大员,4000-5000元,宁波·鄞州·潘火,经验不限,大专,立即投递收藏
智联,计算机,计算机技术员,8000-11000元,深圳·龙岗·坂田,1-3年,大专,立即投递收藏
智联,计算机,专升本计算机授课老师,4000-8000元,兰州·城关区·东岗西路街道,经验不限,硕士,立即投递收藏
智联,计算机,计算机主板检测与数据恢复工程师,6000-9000元,石家庄·长安·青园,3-5年,大专,立即投递收藏
智联,计算机,it计算机硬件技术员,8000-9000元,南京·秦淮·五老村,1年以下,大专,立即投递收藏
智联,计算机,计算机老师(线下专升本),8000-10000元,青岛·城阳·流亭,1-3年,本科,立即投递收藏
智联,计算机,计算机讲师,6000-7000元,石家庄·长安·西兆通,1-3年,本科,立即投递收藏
智联,计算机,计算机工程师,5000-10000元,合肥·包河·望湖,经验不限,本科,立即投递收藏
智联,计算机,计算机硬件销售,8000-15000元,深圳·福田·沙头,3-5年,大专,立即投递收藏
智联,计算机,计算机基础 | 专升本,5000-10000元,德阳·旌阳区,1-3年,本科,立即投递收藏
智联,计算机,计算机老师,5000-8000元,成都·双流·彭镇,1-3年,本科,立即投递收藏
智联,计算机,计算机教师,5000-8000元,成都·龙泉驿·同安,1-3年,本科,立即投递收藏
智联,计算机,计算机、财税、电商老师,7000-14000元,青岛·即墨·通济,经验不限,学历不限,立即投递收藏
智联,计算机,中职计算机网络技术专业教师,5000-9000元,镇江·京口区·谏壁街道,经验不限,本科,立即投递收藏
智联,计算机,计算机辅助设备管理员,4000-8000元,天津·南开·万兴,1年以下,大专,立即投递收藏
