job_name,city,education,work_exp,company,salary_avg,data_source
无线网优工程师,北京,大专,无需经验,北京欧兴科技,7000,前程无忧
AI风控助理+不限经验+双休,北京,大专,无需经验,潍坊市博远人力资源,9500,前程无忧
自动化设备工程师,北京,大专,无需经验,北京京铭宏硕科技有限公司西安,8000,前程无忧
游戏功能测试（双休）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
通信工程师助理,北京,本科,无需经验,北京欧兴科技,7500,前程无忧
ai数据标注+双休+可无经验,北京,大专,无需经验,潍坊市博远人力资源,10500,前程无忧
售后工程师（PCD 刀具机床）,北京,,1-5年,北京安德建奇数字设备,7500,前程无忧
测试开发（双休 补贴）,北京,大专,无需经验,河南腾桓人力资源,11500,前程无忧
机械设计工程师,北京,大专,无需经验,北京京铭宏硕科技有限公司西安,8500,前程无忧
自动化设备工程师,北京,大专,无需经验,北京欧兴科技,8000,前程无忧
结构工程师,北京,大专,无需经验,北京中瓴时代科技,9000,前程无忧
项目实施工程师,北京,本科,1-3年,宁波金唐软件,10000,前程无忧
实施,北京,本科,2年及以上,南京日冲软件,12000,前程无忧
机械维修工程师,北京,大专,2年及以上,深圳连群电子有限公司苏州,7500,前程无忧
应用开发工程师（AI 方向）,北京,本科,1-5年,爱普生（中国）,12500,前程无忧
建筑机电工程师,,本科,3年及以上,北京弘奇装饰设计,13000,前程无忧
设备售后维保工程师（出差+3C）,北京,大专,5年及以上,云智汇（深圳）高新科技服务,20500,前程无忧
初级需求分析师,北京,大专,无需经验,四川非凡网毅科技,7000,前程无忧
项目经理（北京）,北京,本科,5-7年,宁波金唐软件,20000,前程无忧
有机合成研究员,北京,本科,1年及以上,上海择瓴企业管理,10500,前程无忧
大模型与AIGC算法工程师,北京,大专,无需经验,安阳创凌信息科技,10000,前程无忧
运维开发,北京,本科,2年及以上,北京弈云网络科技,30500,前程无忧
售后工程师,北京,本科,无需经验,北京泰阳和正科技发展,5000,前程无忧
售前弱电方案工程师（北京）,北京,大专,1-3年,深圳市汇恒通科技,15000,前程无忧
mes系统工程师,北京,大专,3-5年,北京维盛复合材料,10000,前程无忧
数据分析,北京,大专,无需经验,北京京铭宏硕科技有限公司西安,7500,前程无忧
ai产品经理,北京,本科,2年及以上,深圳来学信息技术,15000,前程无忧
无人机飞控算法工程师,北京,本科,3-5年,北京航之鹰科技,22500,前程无忧
机电一体化工程师,北京,大专,无需经验,内蒙古朝正机械设备,8000,前程无忧
收入13K+培训师+生源稳定,北京,本科,1年及以上,深圳市新盛银合科技,15500,前程无忧
五险一金资源分析与遴选,北京,大专,1年,北京智库泉数据处理,6500,前程无忧
财富总监（机构）(J13782)-北京朝阳,北京,本科,3年及以上,东北证券,16000,前程无忧
机械制造工程师,北京,大专,无需经验,内蒙古朝正机械设备,7000,前程无忧
项目工程师,北京,大专,无需经验,北京中瓴时代科技,12000,前程无忧
维修助理工程师,北京,大专,无需经验,内蒙古朝正机械设备,7000,前程无忧
解决方案负责人（人形机器人+机器狗方向）,北京,本科,3年及以上,中电能源开发,22500,前程无忧
AFC维保工程师/双休,北京,,无需经验,石家庄捷轨智能科技,7500,前程无忧
财富总监（机构）(J13786)-北京东城,北京,本科,3年及以上,东北证券,18000,前程无忧
AFC 设备故障维修工程师+包吃住,北京,中技/中专,无需经验,河北永固盾卫安防科技,8000,前程无忧
建筑电气工程师,北京,本科,4年及以上,前锦网络信息技术（上海）,13500,前程无忧
软件测试工程师—饭补—双休,北京,大专,无需经验,北京欧兴科技,6000,前程无忧
中级Java（学信可查全日制本科）,北京,本科,3年及以上,上海速强信息技术,13500,前程无忧
AI产品经理,北京,本科,3年及以上,北京中科致远科技,18000,前程无忧
IC设计工程师（PCIE/Ethernet）,北京,本科,5年及以上,芯带科技（无锡）,27500,前程无忧
云计算工程师,北京,硕士,5年及以上,前锦网络信息技术（上海）,32500,前程无忧
商务司机,北京,大专,5年及以上,中盈优创资讯科技,9000,前程无忧
IT业务顾问,北京,本科,2年及以上,杭州和利时自动化,15000,前程无忧
